"state","year","cases"
"California",2007,38538
"Texas",2007,37465
"Arizona",2007,18202
"New York",2007,17995
"Florida",2007,17887
"Georgia",2007,10144
"Washington",2007,8185
"Louisiana",2007,7573
"Illinois",2007,5510
"Pennsylvania",2007,5096
"New Jersey",2007,4979
"Maryland",2007,4213
"Virginia",2007,3908
"Massachusetts",2007,3838
"Colorado",2007,3782
"Missouri",2007,3481
"Michigan",2007,3003
"Ohio",2007,2960
"Minnesota",2007,2871
"Puerto Rico",2007,2719
"Nevada",2007,2298
"Tennessee",2007,2274
"Nebraska",2007,1956
"Connecticut",2007,1641
"Utah",2007,1587
"Oregon",2007,926
"Hawaii",2007,668
"North Carolina",2007,159
"Guam",2007,68
"Oklahoma",2007,NA
"Alabama",2007,NA
"Rhode Island",2007,NA
"Alaska",2007,NA
"South Carolina",2007,NA
"Arkansas",2007,NA
"South Dakota",2007,NA
"Delaware",2007,NA
"US Virgin Islands",2007,NA
"District of Columbia",2007,NA
"Vermont",2007,NA
"Idaho",2007,NA
"West Virginia",2007,NA
"Indiana",2007,NA
"Wisconsin",2007,NA
"Iowa",2007,NA
"Wyoming",2007,NA
"Kansas",2007,NA
"Kentucky",2007,NA
"Maine",2007,NA
"Mississippi",2007,NA
"Montana",2007,NA
"New Hampshire",2007,NA
"New Mexico",2007,NA
"North Dakota",2007,NA
"Texas",2008,42511
"California",2008,33361
"Arizona",2008,19397
"Florida",2008,19086
"New York",2008,17015
"Georgia",2008,12148
"Louisiana",2008,9607
"Washington",2008,8606
"Illinois",2008,7705
"New Jersey",2008,6602
"Pennsylvania",2008,5378
"Virginia",2008,5166
"Colorado",2008,5123
"Missouri",2008,4298
"Ohio",2008,3914
"Massachusetts",2008,3557
"Minnesota",2008,3302
"Maryland",2008,3283
"Michigan",2008,3274
"Nebraska",2008,2589
"Nevada",2008,2396
"Utah",2008,2195
"Puerto Rico",2008,2173
"Tennessee",2008,2075
"Connecticut",2008,1447
"North Carolina",2008,1001
"Hawaii",2008,823
"Oregon",2008,729
"Guam",2008,153
"Oklahoma",2008,NA
"Alabama",2008,NA
"Rhode Island",2008,NA
"Alaska",2008,NA
"South Carolina",2008,NA
"Arkansas",2008,NA
"South Dakota",2008,NA
"Delaware",2008,NA
"US Virgin Islands",2008,NA
"District of Columbia",2008,NA
"Vermont",2008,NA
"Idaho",2008,NA
"West Virginia",2008,NA
"Indiana",2008,NA
"Wisconsin",2008,NA
"Iowa",2008,NA
"Wyoming",2008,NA
"Kansas",2008,NA
"Kentucky",2008,NA
"Maine",2008,NA
"Mississippi",2008,NA
"Montana",2008,NA
"New Hampshire",2008,NA
"New Mexico",2008,NA
"North Dakota",2008,NA
"Texas",2009,51803
"California",2009,32080
"Arizona",2009,23088
"New York",2009,19770
"Florida",2009,19395
"Georgia",2009,11380
"Illinois",2009,9912
"Louisiana",2009,9509
"Washington",2009,8649
"New Jersey",2009,7813
"Colorado",2009,7601
"Pennsylvania",2009,6583
"Massachusetts",2009,4962
"Virginia",2009,4696
"Ohio",2009,4559
"Minnesota",2009,3718
"Missouri",2009,3659
"Nevada",2009,3598
"Michigan",2009,3416
"North Carolina",2009,2978
"Maryland",2009,2959
"Utah",2009,2954
"Nebraska",2009,2893
"Tennessee",2009,2376
"Puerto Rico",2009,2100
"Connecticut",2009,1579
"Oregon",2009,820
"Hawaii",2009,680
"Guam",2009,123
"Oklahoma",2009,NA
"Alabama",2009,NA
"Rhode Island",2009,NA
"Alaska",2009,NA
"South Carolina",2009,NA
"Arkansas",2009,NA
"South Dakota",2009,NA
"Delaware",2009,NA
"US Virgin Islands",2009,NA
"District of Columbia",2009,NA
"Vermont",2009,NA
"Idaho",2009,NA
"West Virginia",2009,NA
"Indiana",2009,NA
"Wisconsin",2009,NA
"Iowa",2009,NA
"Wyoming",2009,NA
"Kansas",2009,NA
"Kentucky",2009,NA
"Maine",2009,NA
"Mississippi",2009,NA
"Montana",2009,NA
"New Hampshire",2009,NA
"New Mexico",2009,NA
"North Dakota",2009,NA
"Texas",2010,52273
"California",2010,31502
"Arizona",2010,19611
"New York",2010,19579
"Florida",2010,17923
"Illinois",2010,12195
"Georgia",2010,12170
"Louisiana",2010,8772
"Washington",2010,8106
"New Jersey",2010,7073
"Colorado",2010,6623
"Pennsylvania",2010,5907
"Massachusetts",2010,4628
"Virginia",2010,4520
"Ohio",2010,4349
"Missouri",2010,3552
"Nevada",2010,3506
"Minnesota",2010,3376
"Michigan",2010,3340
"Nebraska",2010,3217
"Tennessee",2010,2855
"Maryland",2010,2758
"Utah",2010,2696
"North Carolina",2010,2602
"Connecticut",2010,1372
"Puerto Rico",2010,1147
"Oregon",2010,1070
"Hawaii",2010,411
"Guam",2010,106
"Oklahoma",2010,NA
"Alabama",2010,NA
"Rhode Island",2010,NA
"Alaska",2010,NA
"South Carolina",2010,NA
"Arkansas",2010,NA
"South Dakota",2010,NA
"Delaware",2010,NA
"US Virgin Islands",2010,NA
"District of Columbia",2010,NA
"Vermont",2010,NA
"Idaho",2010,NA
"West Virginia",2010,NA
"Indiana",2010,NA
"Wisconsin",2010,NA
"Iowa",2010,NA
"Wyoming",2010,NA
"Kansas",2010,NA
"Kentucky",2010,NA
"Maine",2010,NA
"Mississippi",2010,NA
"Montana",2010,NA
"New Hampshire",2010,NA
"New Mexico",2010,NA
"North Dakota",2010,NA
"Texas",2011,50642
"California",2011,32297
"Arizona",2011,19665
"New York",2011,18974
"Florida",2011,15732
"Georgia",2011,14782
"Illinois",2011,10854
"Louisiana",2011,10231
"Washington",2011,7230
"New Jersey",2011,6758
"Pennsylvania",2011,6243
"Colorado",2011,5260
"Virginia",2011,4583
"Massachusetts",2011,4447
"Ohio",2011,3643
"Nebraska",2011,3383
"Missouri",2011,3280
"Minnesota",2011,3256
"Michigan",2011,3087
"Maryland",2011,2672
"Nevada",2011,2604
"Tennessee",2011,2602
"North Carolina",2011,2448
"Utah",2011,2266
"Connecticut",2011,1029
"Oregon",2011,804
"Puerto Rico",2011,659
"Hawaii",2011,382
"Guam",2011,127
"Oklahoma",2011,NA
"Alabama",2011,NA
"Rhode Island",2011,NA
"Alaska",2011,NA
"South Carolina",2011,NA
"Arkansas",2011,NA
"South Dakota",2011,NA
"Delaware",2011,NA
"US Virgin Islands",2011,NA
"District of Columbia",2011,NA
"Vermont",2011,NA
"Idaho",2011,NA
"West Virginia",2011,NA
"Indiana",2011,NA
"Wisconsin",2011,NA
"Iowa",2011,NA
"Wyoming",2011,NA
"Kansas",2011,NA
"Kentucky",2011,NA
"Maine",2011,NA
"Mississippi",2011,NA
"Montana",2011,NA
"New Hampshire",2011,NA
"New Mexico",2011,NA
"North Dakota",2011,NA
"Texas",2012,47803
"California",2012,33012
"New York",2012,16701
"Arizona",2012,15354
"Florida",2012,13973
"Georgia",2012,13409
"Illinois",2012,9769
"Louisiana",2012,7244
"New Jersey",2012,6482
"Washington",2012,5955
"Pennsylvania",2012,5419
"Virginia",2012,5009
"Massachusetts",2012,4277
"Colorado",2012,4116
"Ohio",2012,2979
"Missouri",2012,2789
"Minnesota",2012,2760
"Nebraska",2012,2663
"North Carolina",2012,2603
"Michigan",2012,2447
"Maryland",2012,2165
"Nevada",2012,2130
"Tennessee",2012,1976
"Utah",2012,1704
"Connecticut",2012,885
"Oregon",2012,681
"Puerto Rico",2012,463
"Hawaii",2012,265
"Guam",2012,111
"Oklahoma",2012,NA
"Alabama",2012,NA
"Rhode Island",2012,NA
"Alaska",2012,NA
"South Carolina",2012,NA
"Arkansas",2012,NA
"South Dakota",2012,NA
"Delaware",2012,NA
"US Virgin Islands",2012,NA
"District of Columbia",2012,NA
"Vermont",2012,NA
"Idaho",2012,NA
"West Virginia",2012,NA
"Indiana",2012,NA
"Wisconsin",2012,NA
"Iowa",2012,NA
"Wyoming",2012,NA
"Kansas",2012,NA
"Kentucky",2012,NA
"Maine",2012,NA
"Mississippi",2012,NA
"Montana",2012,NA
"New Hampshire",2012,NA
"New Mexico",2012,NA
"North Dakota",2012,NA
"Texas",2013,56288
"California",2013,29279
"New York",2013,15838
"Arizona",2013,15492
"Florida",2013,12996
"Georgia",2013,9355
"Illinois",2013,8690
"Louisiana",2013,6405
"Virginia",2013,5859
"New Jersey",2013,5815
"Washington",2013,4792
"Pennsylvania",2013,4450
"Colorado",2013,3168
"Massachusetts",2013,3073
"North Carolina",2013,2260
"Minnesota",2013,2231
"Michigan",2013,2074
"Maryland",2013,2068
"Ohio",2013,2035
"Nevada",2013,1671
"Nebraska",2013,1574
"Missouri",2013,1556
"Tennessee",2013,1456
"Utah",2013,1077
"Connecticut",2013,825
"Oregon",2013,665
"Puerto Rico",2013,450
"Hawaii",2013,161
"Guam",2013,63
"Oklahoma",2013,NA
"Alabama",2013,NA
"Rhode Island",2013,NA
"Alaska",2013,NA
"South Carolina",2013,NA
"Arkansas",2013,NA
"South Dakota",2013,NA
"Delaware",2013,NA
"US Virgin Islands",2013,NA
"District of Columbia",2013,NA
"Vermont",2013,NA
"Idaho",2013,NA
"West Virginia",2013,NA
"Indiana",2013,NA
"Wisconsin",2013,NA
"Iowa",2013,NA
"Wyoming",2013,NA
"Kansas",2013,NA
"Kentucky",2013,NA
"Maine",2013,NA
"Mississippi",2013,NA
"Montana",2013,NA
"New Hampshire",2013,NA
"New Mexico",2013,NA
"North Dakota",2013,NA
"Texas",2014,71161
"California",2014,36219
"New York",2014,23362
"Florida",2014,18065
"Arizona",2014,12513
"Virginia",2014,10707
"Illinois",2014,10215
"Georgia",2014,10025
"New Jersey",2014,8921
"Louisiana",2014,7995
"Maryland",2014,6186
"North Carolina",2014,5668
"Pennsylvania",2014,5622
"Washington",2014,5419
"Massachusetts",2014,4631
"Colorado",2014,4543
"Tennessee",2014,4034
"Michigan",2014,2423
"Minnesota",2014,2401
"Ohio",2014,2361
"Missouri",2014,2190
"Nebraska",2014,1975
"Nevada",2014,1804
"Utah",2014,1480
"Connecticut",2014,1361
"Oregon",2014,1053
"Puerto Rico",2014,446
"Hawaii",2014,190
"Guam",2014,59
"Oklahoma",2014,NA
"Alabama",2014,NA
"Rhode Island",2014,NA
"Alaska",2014,NA
"South Carolina",2014,NA
"Arkansas",2014,NA
"South Dakota",2014,NA
"Delaware",2014,NA
"US Virgin Islands",2014,NA
"District of Columbia",2014,NA
"Vermont",2014,NA
"Idaho",2014,NA
"West Virginia",2014,NA
"Indiana",2014,NA
"Wisconsin",2014,NA
"Iowa",2014,NA
"Wyoming",2014,NA
"Kansas",2014,NA
"Kentucky",2014,NA
"Maine",2014,NA
"Mississippi",2014,NA
"Montana",2014,NA
"New Hampshire",2014,NA
"New Mexico",2014,NA
"North Dakota",2014,NA
